ts,scenario,set_hash,report_model,pred_type,pred_service,pred_severity,correct,latency_s,runs_path
20260728T072325,cpu,8f9de8214700,gpt-5.5-2026-04-23,Resource_Exhaustion,__node__,MID,O,62.89,runs/20260728T072325_cpu_8f9de8214700
20260728T072428,kill_media,8f9de8214700,gpt-5.5-2026-04-23,Data_Conflict,trace,MID,X,70.52,runs/20260728T072428_kill_media_8f9de8214700
20260728T072539,code_media,8f9de8214700,gpt-5.5-2026-04-23,Network_DNS,nginx,HIGH,X,61.89,runs/20260728T072539_code_media_8f9de8214700
20260729T043659,cpu,193a0899982c,gpt-5.5-2026-04-23,PERFORMANCE,socialgraph,HIGH,O,44.55,runs/20260729T043659_cpu_193a0899982c
20260729T043743,cpu,193a0899982c,gpt-5.5-2026-04-23,PERFORMANCE,socialgraph,MID,O,46.89,runs/20260729T043743_cpu_193a0899982c
20260729T043830,cpu,193a0899982c,gpt-5.5-2026-04-23,PERFORMANCE,socialgraph,MID,O,64.59,runs/20260729T043830_cpu_193a0899982c
20260729T043935,kill_media,193a0899982c,gpt-5.5-2026-04-23,NONE,nginx,LOW,X,35.34,runs/20260729T043935_kill_media_193a0899982c
20260729T044010,kill_media,193a0899982c,gpt-5.5-2026-04-23,NONE,UNKNOWN,LOW,X,32.07,runs/20260729T044010_kill_media_193a0899982c
20260729T044042,kill_media,193a0899982c,gpt-5.5-2026-04-23,NONE,trace,LOW,X,30.49,runs/20260729T044042_kill_media_193a0899982c
20260729T044113,code_media,193a0899982c,gpt-5.5-2026-04-23,DEPENDENCY,nginx,HIGH,X,62.71,runs/20260729T044113_code_media_193a0899982c
20260729T044216,code_media,193a0899982c,gpt-5.5-2026-04-23,DEPENDENCY,nginx,HIGH,X,73.77,runs/20260729T044216_code_media_193a0899982c
20260729T044330,code_media,193a0899982c,gpt-5.5-2026-04-23,DEPENDENCY,nginx,MID,X,54.19,runs/20260729T044330_code_media_193a0899982c
